名称,行政区,地址,开放时间,门票价格,评分,简介,信任等级,数据来源,冲突标记
鲁迅故里,,绍兴市越城区鲁迅中路241号,08:30-17:00,免费,4.8,绍兴最具代表性的人文景点，包含鲁迅祖居、三味书屋、百草园,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
沈园,,绍兴市越城区鲁迅中路318号,08:00-21:00,40元,4.6,南宋著名园林，因陆游与唐婉的爱情故事而闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
东湖,,绍兴市越城区皋埠街道云东路,08:00-17:00,50元,4.5,古代采石场遗址，以悬崖峭壁和深潭碧水闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
兰亭景区,,绍兴市柯桥区兰亭镇308省道,08:00-17:20,70元,4.7,因王羲之《兰亭序》闻名天下，书法圣地,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
柯岩风景区,,,08:30-17:00,115元,,包含柯岩、鉴湖、鲁镇三大景区,4,gov_api|baike,
安昌古镇,,绍兴市柯桥区安昌街道,全天开放,免费,4.4,绍兴保存最完好的水乡古镇之一，以酱文化和腊味闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
大禹陵,,绍兴市越城区会稽山麓,08:00-17:00,50元,4.3,中华民族始祖大禹的陵寝之地,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
新昌大佛寺,,绍兴市新昌县人民西路117号,08:00-17:00,60元,4.6,江南第一大佛，始凿于南朝齐梁年间,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
五泄风景区,,绍兴市诸暨市五泄镇,07:30-17:00,80元,4.5,以五级瀑布闻名，东南第一秀水,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
穿岩十九峰,,绍兴市新昌县镜岭镇,08:00-16:30,60元,4.4,丹霞地貌，19座山峰一字排列，有玻璃栈道,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
书圣故里,,绍兴市越城区蕺山街,全天开放,免费,4.5,建造年代: 东晋，现存街区为明清风格 | 文化典故: 题扇桥：王羲之为卖扇老妪题字，扇子身价百倍；躲婆弄：老妪再三求字，王羲之躲入小巷 | 建筑特色: 绍兴保存最完整的历史街区，蕺山街、西街、笔飞弄,3,baike|generator_attraction_basic|generator_attraction_culture,
仓桥直街,,绍兴市越城区仓桥直街,全天开放,免费,4.4,建造年代: 宋代始建，明清繁华 | 文化典故: 获联合国教科文组织亚太区文化遗产保护奖（2003年） | 建筑特色: 台门建筑群，沿河而建，传统店铺与民居交错,3,baike|generator_attraction_basic|generator_attraction_culture,
西施故里,,绍兴市诸暨市浣纱中路123号,08:00-17:00,免费(部分场馆收费),4.2,建造年代: 现存建筑重修于1980-1990年代 | 文化典故: 西施浣纱、卧薪尝胆等历史典故；浣纱石留有东晋王羲之题字 | 建筑特色: 西施殿利用万余件古建筑构件重建，江南园林风格,3,baike|generator_attraction_basic|generator_attraction_culture,
覆卮山,,绍兴市上虞区岭南乡,全天开放,免费,4.1,建造年代: 自然形成，千年梯田始于宋代 | 文化典故: 谢灵运覆卮典故；冰川石浪为第四纪冰川遗迹 | 建筑特色: 千年古梯田（2.3万块）、冰川石浪、古村落,3,baike|generator_attraction_basic|generator_attraction_culture,
天姥山,,绍兴市新昌县儒岙镇,全天开放,免费,4.2,建造年代: 自然形成 | 文化典故: 浙东唐诗之路的核心节点，450余位唐代诗人留下1500余首诗篇 | 建筑特色: 山间云雾缭绕，天姥寺遗址，登山步道,3,baike|generator_attraction_basic|generator_attraction_culture,
曹娥庙,,绍兴市上虞区曹娥街道,08:00-16:30,免费,4.0,建造年代: 东汉，现存建筑为民国重建 | 文化典故: 被誉为'江南第一庙'，庙内有历代碑刻数十通，包括蔡卞重书的曹娥碑 | 建筑特色: 庙殿巍峨，雕刻精美，正殿壁画描绘曹娥事迹,3,baike|generator_attraction_basic|generator_attraction_culture,
绍兴柯岩风景区,,绍兴市柯桥区柯岩大道558号,08:30-17:00,115元(联票),4.7,柯岩风景区包含柯岩、鉴湖、鲁镇三大景区，以柯岩云谷和大佛石刻为核心。鉴湖风光秀美，为绍兴黄酒水源地。鲁镇再现鲁迅笔下小镇风貌。,2,generator_attraction_basic|generator_attraction_culture,
八字桥,,绍兴市越城区八字桥直街,全天开放,免费,4.2,八字桥是绍兴最古老的城市石桥之一，始建于南宋，因两桥成'八'字形跨河而建得名，是中国古代桥梁建筑精品。,2,generator_attraction_basic|generator_attraction_culture,
绍兴博物馆,,绍兴市越城区偏门直街75号,09:00-16:30(周一闭馆),免费,4.3,绍兴博物馆全面展示绍兴从史前到近代的历史文化，馆藏丰富，包含越国青铜器、越窑青瓷、明清书画等。是了解绍兴历史文化的最佳窗口。,2,generator_attraction_basic|generator_attraction_culture,
中国黄酒博物馆,,绍兴市越城区下大路557号,09:00-16:30,30元,4.3,中国黄酒博物馆全面展示黄酒七千年酿造历史，可体验黄酒品鉴、了解传统酿造工艺。是绍兴酒文化的集中展示地和必打卡的文化场馆。,2,generator_attraction_basic|generator_attraction_culture,
秋瑾故居,,绍兴市越城区和畅堂35号,08:30-16:30,免费,4.2,秋瑾故居是辛亥革命先驱秋瑾的出生地和革命活动场所，展示了秋瑾生平事迹和清末革命历史。,2,generator_attraction_basic|generator_attraction_culture,
周恩来祖居,,绍兴市越城区劳动路369号,08:30-16:30,免费,4.3,周恩来祖居是周恩来总理祖辈居住的地方，展示了周恩来家族历史和青少年时期的成长经历。,2,generator_attraction_basic|generator_attraction_culture,
蔡元培故居,,绍兴市越城区笔飞弄13号,08:30-16:30,免费,4.1,蔡元培故居是著名教育家蔡元培先生的诞生地，展示了蔡元培先生的生平事迹和'思想自由、兼容并包'的教育理念。,2,generator_attraction_basic|generator_attraction_culture,
青藤书屋,,绍兴市越城区前观巷大乘弄10号,08:30-16:30,免费,4.1,青藤书屋是明代书画家徐渭的故居，院内有徐渭手植青藤，古朴清幽，文人气息浓厚。,2,generator_attraction_basic|generator_attraction_culture,
鲁迅外婆家,,绍兴市越城区孙端镇安桥头村,08:30-16:30,免费,4.0,鲁迅外婆家是鲁迅童年时期生活过的地方，《社戏》等作品中的场景来源于此。保留了清末民初的乡村风貌。,2,generator_attraction_basic|generator_attraction_culture,
中华孝德园,,绍兴市上虞区曹娥街道,08:30-16:30,免费,3.9,中华孝德园以传统孝文化为主题，集文化展示、园林景观、互动体验于一体。园内有大舜庙、孝德文化展示馆等。,2,generator_attraction_basic|generator_attraction_culture,
百丈飞瀑,,绍兴市嵊州市王院乡,08:00-16:30,55元,4.2,百丈飞瀑是嵊州著名自然景观，主瀑高约120米，雨季水量充沛时气势磅礴。景区峡谷幽深，夏季凉爽宜人。,2,generator_attraction_basic|generator_attraction_culture,
崇仁古镇,,绍兴市嵊州市崇仁镇,全天开放,免费,4.1,崇仁古镇是嵊州保存完好的千年古镇，以明清古建筑群和越剧文化闻名。古镇风貌原始淳朴，尚未过度商业化。,2,generator_attraction_basic|generator_attraction_culture,
会稽山兜率天景区,,绍兴市柯桥区会稽山,08:30-16:30,80元,4.3,龙华寺和兜率天宫是绍兴重要的佛教文化胜地，坐落于会稽山巅气势恢宏，可俯瞰绍兴全城。,2,generator_attraction_basic|generator_attraction_culture,
大香林,,绍兴市柯桥区湖塘街道,08:30-16:30,40元,4.1,大香林景区以千年桂花林闻名，秋季桂花盛开时满山飘香。景区内有古桂群、月老祠等景点。,2,generator_attraction_basic|generator_attraction_culture,
乔波冰雪世界,,绍兴市柯桥区鉴湖路,10:00-21:00,180元起,4.2,乔波冰雪世界是浙江最大的室内滑雪场，全年开放。有初级和中级雪道，夏季避暑新玩法。,2,generator_attraction_basic|generator_attraction_culture,
越王台,,绍兴市越城区府山公园内,08:00-17:00,免费,4.0,越王台位于府山之巅，传为越王勾践卧薪尝胆之处。登台可俯瞰绍兴古城全景。,2,generator_attraction_basic|generator_attraction_culture,
古纤道,,绍兴市柯桥区鉴湖中,全天开放,免费,4.1,古纤道是古代纤夫拉船的通道，横跨鉴湖水面的石板长桥。柯桥段保存最完好，为全国重点文物保护单位。,2,generator_attraction_basic|generator_attraction_culture,
宛委山,,绍兴市越城区会稽山旅游度假区,08:00-17:00,30元,4.1,宛委山是绍兴赏樱胜地，每年3月樱花盛开时节漫山粉白。山间有宛委山房、阳明洞天等景点，是会稽山旅游度假区的核心景区之一。,2,generator_attraction_basic|generator_attraction_culture,
吼山,,绍兴市越城区皋埠街道,08:00-17:00,45元,4.0,吼山以桃花和摩崖石刻闻名，每年3-4月桃花盛开时满山绯红。山上有南宋摩崖造像和历代题刻。,2,generator_attraction_basic|generator_attraction_culture,
镜湖国家湿地公园,,绍兴市越城区镜湖新区,全天开放,免费,4.2,镜湖是绍兴城市湿地公园，水面宽阔碧波荡漾。有环湖绿道适合骑行和散步，春季油菜花海和秋季芦苇荡各具风情。,2,generator_attraction_basic|generator_attraction_culture,
府山公园,,绍兴市越城区府山街道,全天开放,免费,4.1,府山为绍兴城内最高点，登顶可俯瞰古城全貌。山上有越王台、越王殿、飞翼楼、唐宋摩崖石刻等古迹。,2,generator_attraction_basic|generator_attraction_culture,
迎恩门水街,,绍兴市越城区迎恩门,全天开放,免费,4.0,迎恩门是绍兴古城西门，近年改造为水乡风情商业街。沿河而建的仿古建筑群中有茶馆、餐厅、文创店。,2,generator_attraction_basic|generator_attraction_culture,
塔山公园,,绍兴市越城区塔山街道,全天开放,免费,3.9,塔山因山上有应天塔而得名。公园小巧精致，登塔可眺望绍兴古城。,2,generator_attraction_basic|generator_attraction_culture,
蕺山公园,,绍兴市越城区蕺山街,全天开放,免费,3.8,蕺山是书圣故里背后的山丘，因王羲之在此采蕺（鱼腥草）而得名。山顶有文笔塔，可眺望绍兴全城。,2,generator_attraction_basic|generator_attraction_culture,
若耶溪,,绍兴市越城区平水镇,全天开放,免费,4.0,若耶溪是浙东唐诗之路上的重要节点，溪水清澈两岸青山。李白、杜甫、王维等诗人曾泛舟若耶溪。,2,generator_attraction_basic|generator_attraction_culture,
羊山石佛,,绍兴市柯桥区齐贤街道,08:00-16:30,20元,4.0,羊山石佛与柯岩大佛同为隋代石刻造像。石佛高约6米，开凿于隋开皇年间，为浙江现存最早的石窟造像之一。,2,generator_attraction_basic|generator_attraction_culture,
印山越国王陵,,绍兴市柯桥区兰亭镇,08:30-16:30,30元,4.1,印山越国王陵是春秋战国时期越国王陵，1998年考古发掘震惊学界。墓室为巨大的'人'字形木结构。,2,generator_attraction_basic|generator_attraction_culture,
东浦古镇,,绍兴市越城区东浦街道,全天开放,免费,4.1,东浦是绍兴黄酒的发源地之一，被称为'黄酒小镇'。古镇保存了传统水乡格局，有古酒坊、老桥和老街。,2,generator_attraction_basic|generator_attraction_culture,
诸暨千柱屋,,绍兴市诸暨市东白湖镇,08:30-17:00,30元,4.1,千柱屋是清代巨商斯元儒的故居，因有千余根柱子得名。建筑规模宏大，雕刻精美，是江南民居建筑的杰作。,2,generator_attraction_basic|generator_attraction_culture,
嵊州越剧小镇,,绍兴市嵊州市甘霖镇,09:00-17:00,60元,4.2,越剧小镇是以越剧文化为主题的文化旅游小镇。有越剧戏台、越剧博物馆、越剧工坊等，可观看越剧演出和体验越剧化妆。,2,generator_attraction_basic|generator_attraction_culture,
嵊州温泉城,,绍兴市嵊州市崇仁镇,10:00-22:00,168元起,4.1,嵊州温泉城是绍兴最大的温泉度假区，有室内外温泉泡池数十个。冬季泡温泉暖身养生，搭配崇仁古镇一日游。,2,generator_attraction_basic|generator_attraction_culture,
斯宅古村,,绍兴市诸暨市东白湖镇斯宅村,全天开放,免费,4.0,斯宅古村是保存完好的清代古村落群，以千柱屋为核心。村中有多座大型台门建筑，原生态风貌。,2,generator_attraction_basic|generator_attraction_culture,
绍兴科技馆,,绍兴市越城区人民东路,09:00-16:30(周一闭馆),免费,4.0,绍兴科技馆是集科普教育、互动体验于一体的现代化科技馆。有机器人、VR体验、4D影院等，适合亲子游。,2,generator_attraction_basic|generator_attraction_culture,
绍兴非遗馆,,绍兴市越城区人民西路,09:00-16:30(周一闭馆),免费,4.0,绍兴非遗馆集中展示绍兴各级非物质文化遗产项目。有黄酒酿造、越剧、嵊州竹编、花雕制作等非遗项目的实物和互动体验。,2,generator_attraction_basic|generator_attraction_culture,
绍兴城市广场,,绍兴市越城区胜利西路,全天开放,免费,4.0,绍兴城市广场是绍兴市中心地标，广场上有大善塔和音乐喷泉。夜晚灯光璀璨，是市民休闲和游客打卡的热门地点。,2,generator_attraction_basic|generator_attraction_culture,
迪荡湖公园,,绍兴市越城区迪荡新城,全天开放,免费,4.1,迪荡湖是绍兴新城区的城市湖泊公园，有环湖跑道和自行车道。湖边有咖啡馆和餐厅，是市民休闲新地标。,2,generator_attraction_basic|generator_attraction_culture,
会稽山阳明洞天,,绍兴市越城区会稽山,08:00-17:00,含在宛委山门票内,4.0,阳明洞天是王阳明讲学论道之处，为心学发源地之一。洞内有王阳明手书'阳明洞天'石刻。,2,generator_attraction_basic|generator_attraction_culture,
越王城遗址,,绍兴市越城区府山街道,08:00-17:00,免费,3.9,越王城遗址是春秋越国都城遗址，位于府山南麓。遗址出土大量越国文物，是研究越文化的重要考古遗址。,2,generator_attraction_basic|generator_attraction_culture,
