主题,时间,内容摘要,景点,来源URL,数据来源,信任等级,内容分类,entity_id,entity_name
绍兴名人故里研学游,全年,鲁迅故里（文学）、书圣故里（书法）、青藤书屋（绘画）、蔡元培故居（教育）、秋瑾故居（革命）。,鲁迅故里/书圣故里/青藤书屋,comprehensive:event:study_tour,comprehensive,3,,景点0011,书圣故里
绍兴非遗体验之旅,全年,安昌扯白糖（观看制作）、黄酒博物馆（酿造体验）、书圣故里（书法体验）、嵊州竹编（手工艺体验）。,安昌古镇/黄酒博物馆/书圣故里,comprehensive:event:ich_experience,comprehensive,3,,景点0011,书圣故里
,,,鲁迅故里→沈园→书圣故里→仓桥直街,comprehensive:route:culture1day,comprehensive,4,,景点0002,沈园
,,,兰亭景区→书圣故里→青藤书屋→绍兴博物馆,comprehensive:route:calligraphy,comprehensive,4,,景点0004,兰亭景区
,,,,xhs_static:绍兴最全美食地图本地人推荐,xiaohongshu,1,food_shop,,
,,,,xhs_static:绍兴黄酒体验全攻略,xiaohongshu,1,food_shop,,
,,,,xhs_static:绍兴这些老字号你吃过几家,xiaohongshu,1,food_shop,,
,,,,xhs_static:,xiaohongshu,1,food_shop,,
,,,同心楼(生煎)→鲁迅故里(王老汉臭豆腐)→咸亨酒店(午餐)→高老太奶油小攀→寻宝记(晚餐)→绘璟轩(黄酒奶茶),comprehensive:route:food1day,comprehensive,2,,景点0069,咸亨酒店(住宿部)
,,,鲁迅故里,mafengwo_static:luxunguli,mafengwo,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,沈园,mafengwo_static:shenyuan,mafengwo,2,attraction_review,景点0002,沈园
,,,东湖,mafengwo_static:donghu,mafengwo,2,attraction_review,景点0003,绍兴东湖·湖光山色民宿
,,,兰亭景区,mafengwo_static:lanting,mafengwo,2,attraction_review,景点0004,兰亭景区
,,,柯岩风景区,mafengwo_static:keyan,mafengwo,2,attraction_review,景点0005,绍兴柯岩风景区
,,,安昌古镇,mafengwo_static:anchang,mafengwo,2,attraction_review,景点0006,安昌古镇·水岸客栈
,,,书圣故里,mafengwo_static:shushengguli,mafengwo,2,attraction_review,景点0011,书圣故里
,,,仓桥直街,mafengwo_static:cangqiao,mafengwo,2,attraction_review,景点0012,仓桥直街
,,,绍兴2日经典游,mafengwo_static:route2day,mafengwo,2,attraction_review,,
,,,绍兴3日深度游,mafengwo_static:route3day,mafengwo,2,attraction_review,,
,,,,xhs_static:绍兴2天1夜保姆级攻略,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴真的被低估了！三天两晚超详细行程,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴这5个地方拍照超出片,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴本地人才知道的宝藏景点,xiaohongshu,1,attraction_review,,
,,,,xhs_static:带娃游绍兴不累的行程安排,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴各景点真实体验避雷指南,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴秋天最美路线,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴3天2夜深度文化游,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴周末特种兵一日游,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴冬天怎么玩,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴免费景点合集,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴周边游之新昌嵊州篇,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴旅游住宿推荐,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴各景点门票汇总,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴最佳旅游季节,xiaohongshu,1,attraction_review,,
,,,,zhihu_static:绍兴有哪些值得去的景点？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴2-3天自由行怎么安排？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴有什么必吃的美食？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴和杭州哪个更值得去？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴周边有什么小众好玩的地方？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴哪些景点是免费的？,zhihu,2,attraction_review,,
,,,,zhihu_static:带父母去绍兴怎么玩？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴的黄酒文化体验推荐,zhihu,2,attraction_review,,
,,,,zhihu_static:,zhihu,2,attraction_review,,
,,,,zhihu_static:为什么说绍兴是中国最有文化的城市之一,zhihu,2,attraction_review,,
,,,鲁迅故里,comprehensive:review:鲁迅故里,comprehensive,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,沈园,comprehensive:review:沈园,comprehensive,2,attraction_review,景点0002,沈园
,,,东湖,comprehensive:review:东湖,comprehensive,2,attraction_review,景点0003,绍兴东湖·湖光山色民宿
,,,兰亭景区,comprehensive:review:兰亭景区,comprehensive,2,attraction_review,景点0004,兰亭景区
,,,绍兴柯岩风景区,comprehensive:review:绍兴柯岩风景区,comprehensive,2,attraction_review,景点0005,绍兴柯岩风景区
,,,安昌古镇,comprehensive:review:安昌古镇,comprehensive,2,attraction_review,景点0006,安昌古镇·水岸客栈
,,,大禹陵,comprehensive:review:大禹陵,comprehensive,2,attraction_review,景点0007,大禹陵
,,,书圣故里,comprehensive:review:书圣故里,comprehensive,2,attraction_review,景点0011,书圣故里
,,,仓桥直街,comprehensive:review:仓桥直街,comprehensive,2,attraction_review,景点0012,仓桥直街
,,,八字桥,comprehensive:review:八字桥,comprehensive,2,attraction_review,景点0013,八字桥
,,,绍兴博物馆,comprehensive:review:绍兴博物馆,comprehensive,2,attraction_review,展馆0119,绍兴博物馆
,,,中国黄酒博物馆,comprehensive:review:中国黄酒博物馆,comprehensive,2,attraction_review,展馆0120,中国黄酒博物馆
,,,秋瑾故居,comprehensive:review:秋瑾故居,comprehensive,2,attraction_review,景点0014,秋瑾故居
,,,周恩来祖居,comprehensive:review:周恩来祖居,comprehensive,2,attraction_review,景点0015,周恩来祖居
,,,蔡元培故居,comprehensive:review:蔡元培故居,comprehensive,2,attraction_review,景点0016,蔡元培故居
,,,青藤书屋,comprehensive:review:青藤书屋,comprehensive,2,attraction_review,景点0017,青藤书屋
,,,鲁迅外婆家,comprehensive:review:鲁迅外婆家,comprehensive,2,attraction_review,景点0018,鲁迅外婆家
,,,新昌大佛寺,comprehensive:review:新昌大佛寺,comprehensive,2,attraction_review,景点0008,新昌大佛寺·禅意酒店
,,,穿岩十九峰,comprehensive:review:穿岩十九峰,comprehensive,2,attraction_review,景点0010,穿岩十九峰
,,,天姥山,comprehensive:review:天姥山,comprehensive,2,attraction_review,景点0019,天姥山
,,,五泄风景区,comprehensive:review:五泄风景区,comprehensive,2,attraction_review,景点0009,五泄风景区
,,,西施故里,comprehensive:review:西施故里,comprehensive,2,attraction_review,景点0020,西施故里
,,,覆卮山,comprehensive:review:覆卮山,comprehensive,2,attraction_review,景点0021,覆卮山
,,,曹娥庙,comprehensive:review:曹娥庙,comprehensive,2,attraction_review,景点0022,曹娥庙
,,,中华孝德园,comprehensive:review:中华孝德园,comprehensive,2,attraction_review,景点0023,中华孝德园
,,,百丈飞瀑,comprehensive:review:百丈飞瀑,comprehensive,2,attraction_review,景点0024,百丈飞瀑
,,,崇仁古镇,comprehensive:review:崇仁古镇,comprehensive,2,attraction_review,景点0025,崇仁古镇
,,,会稽山兜率天景区,comprehensive:review:会稽山兜率天景区,comprehensive,2,attraction_review,景点0026,会稽山兜率天景区
,,,大香林,comprehensive:review:大香林,comprehensive,2,attraction_review,景点0027,大香林
,,,乔波冰雪世界,comprehensive:review:乔波冰雪世界,comprehensive,2,attraction_review,景点0028,乔波冰雪世界
,,,越王台,comprehensive:review:越王台,comprehensive,2,attraction_review,景点0029,越王台
,,,古纤道,comprehensive:review:古纤道,comprehensive,2,attraction_review,景点0030,古纤道
,,,宛委山,comprehensive:review:宛委山,comprehensive,2,attraction_review,景点0031,宛委山
,,,吼山,comprehensive:review:吼山,comprehensive,2,attraction_review,景点0032,吼山
,,,镜湖国家湿地公园,comprehensive:review:镜湖国家湿地公园,comprehensive,2,attraction_review,景点0033,镜湖国家湿地公园
,,,府山公园,comprehensive:review:府山公园,comprehensive,2,attraction_review,景点0034,府山公园
,,,迎恩门水街,comprehensive:review:迎恩门水街,comprehensive,2,attraction_review,景点0035,迎恩门水街
,,,塔山公园,comprehensive:review:塔山公园,comprehensive,2,attraction_review,景点0036,塔山公园
,,,蕺山公园,comprehensive:review:蕺山公园,comprehensive,2,attraction_review,景点0037,蕺山公园
,,,若耶溪,comprehensive:review:若耶溪,comprehensive,2,attraction_review,景点0038,若耶溪
,,,羊山石佛,comprehensive:review:羊山石佛,comprehensive,2,attraction_review,景点0039,羊山石佛
,,,印山越国王陵,comprehensive:review:印山越国王陵,comprehensive,2,attraction_review,景点0040,印山越国王陵
,,,东浦古镇（黄酒小镇）,comprehensive:review:东浦古镇（黄酒小镇）,comprehensive,2,attraction_review,景点0041,东浦古镇（黄酒小镇）
,,,诸暨千柱屋,comprehensive:review:诸暨千柱屋,comprehensive,2,attraction_review,景点0042,诸暨千柱屋
,,,嵊州越剧小镇,comprehensive:review:嵊州越剧小镇,comprehensive,2,attraction_review,景点0043,嵊州越剧小镇
,,,嵊州温泉城,comprehensive:review:嵊州温泉城,comprehensive,2,attraction_review,景点0044,嵊州温泉城
,,,斯宅古村,comprehensive:review:斯宅古村,comprehensive,2,attraction_review,景点0045,斯宅古村
,,,绍兴科技馆,comprehensive:review:绍兴科技馆,comprehensive,2,attraction_review,展馆0121,绍兴科技馆
,,,绍兴非遗馆,comprehensive:review:绍兴非遗馆,comprehensive,2,attraction_review,景点0046,绍兴非遗馆
,,,绍兴城市广场,comprehensive:review:绍兴城市广场,comprehensive,2,attraction_review,景点0047,绍兴城市广场
,,,迪荡湖公园,comprehensive:review:迪荡湖公园,comprehensive,2,attraction_review,景点0048,迪荡湖公园
,,,会稽山阳明洞天,comprehensive:review:会稽山阳明洞天,comprehensive,2,attraction_review,景点0049,会稽山阳明洞天
,,,越王城遗址,comprehensive:review:越王城遗址,comprehensive,2,attraction_review,景点0050,越王城遗址
,,,绍兴名人广场,comprehensive:review:绍兴名人广场,comprehensive,2,attraction_review,景点0051,绍兴名人广场
,,,绍兴环城河,comprehensive:review:绍兴环城河,comprehensive,2,attraction_review,景点0052,绍兴环城河
,,,稽山公园,comprehensive:review:稽山公园,comprehensive,2,attraction_review,景点0053,稽山公园
,,,绍兴市美术馆,comprehensive:review:绍兴市美术馆,comprehensive,2,attraction_review,展馆0122,绍兴市美术馆
,,,绍兴大剧院,comprehensive:review:绍兴大剧院,comprehensive,2,attraction_review,展馆0123,绍兴大剧院
,,,上虞曹娥江,comprehensive:review:上虞曹娥江,comprehensive,2,attraction_review,景点0054,上虞曹娥江
,,,新昌天烛仙境,comprehensive:review:新昌天烛仙境,comprehensive,2,attraction_review,景点0055,新昌天烛仙境
,,,诸暨白塔湖,comprehensive:review:诸暨白塔湖,comprehensive,2,attraction_review,景点0056,诸暨白塔湖
,,,嵊州剡溪,comprehensive:review:嵊州剡溪,comprehensive,2,attraction_review,景点0057,嵊州剡溪
,,,绍兴柯桥古镇,comprehensive:review:绍兴柯桥古镇,comprehensive,2,attraction_review,景点0058,绍兴柯桥古镇
,,,上虞祝家庄,comprehensive:review:上虞祝家庄,comprehensive,2,attraction_review,景点0059,上虞祝家庄
,,,诸暨东白湖,comprehensive:review:诸暨东白湖,comprehensive,2,attraction_review,景点0056,诸暨白塔湖
,,,绍兴儿童公园,comprehensive:review:绍兴儿童公园,comprehensive,2,attraction_review,景点0060,绍兴儿童公园
,,,绍兴镜湖乐园,comprehensive:review:绍兴镜湖乐园,comprehensive,2,attraction_review,景点0061,绍兴镜湖乐园
,,,绍兴东方山水乐园,comprehensive:review:绍兴东方山水乐园,comprehensive,2,attraction_review,景点0062,绍兴东方山水乐园
,,,新昌重阳宫,comprehensive:review:新昌重阳宫,comprehensive,2,attraction_review,景点0063,新昌重阳宫
,,,绍兴龙华寺,comprehensive:review:绍兴龙华寺,comprehensive,2,attraction_review,景点0064,绍兴龙华寺
,,,诸暨斗岩,comprehensive:review:诸暨斗岩,comprehensive,2,attraction_review,景点0065,诸暨斗岩
,,,嵊州南山湖,comprehensive:review:嵊州南山湖,comprehensive,2,attraction_review,景点0066,嵊州南山湖
,,,绍兴越国文化博物馆,comprehensive:review:绍兴越国文化博物馆,comprehensive,2,attraction_review,展馆0124,绍兴越国文化博物馆
,,,绍兴气象博物馆,comprehensive:review:绍兴气象博物馆,comprehensive,2,attraction_review,展馆0119,绍兴博物馆
,,,绍兴市图书馆,comprehensive:review:绍兴市图书馆,comprehensive,2,attraction_review,展馆0125,绍兴市图书馆
,,,绍兴古城墙遗址,comprehensive:review:绍兴古城墙遗址,comprehensive,2,attraction_review,景点0067,绍兴古城墙遗址
,,,绍兴饭店,ctrip_hotel:shaoxingfandian,comprehensive,2,attraction_review,景点0068,绍兴饭店
,,,咸亨酒店(住宿部),ctrip_hotel:xianheng,comprehensive,2,attraction_review,景点0069,咸亨酒店(住宿部)
,,,仓桥直街·水乡民宿,meituan_bnb:cangqiao,comprehensive,2,attraction_review,景点0012,仓桥直街
,,,书圣故里·墨韵民宿,meituan_bnb:shusheng,comprehensive,2,attraction_review,景点0011,书圣故里
,,,绍兴世茂皇冠假日酒店,ctrip_hotel:crowneplaza,comprehensive,2,attraction_review,景点0070,绍兴世茂皇冠假日酒店
,,,绍兴鲁迅故里开元曼居,ctrip_hotel:manyiju,comprehensive,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,绍兴大禹开元观堂,ctrip_hotel:dayukaiyuan,comprehensive,2,attraction_review,景点0071,绍兴大禹开元观堂
,,,安昌古镇·水岸客栈,meituan_bnb:anchang,comprehensive,2,attraction_review,景点0006,安昌古镇·水岸客栈
,,,柯岩鉴湖度假酒店,ctrip_hotel:keyanresort,comprehensive,2,attraction_review,景点0072,柯岩鉴湖度假酒店
,,,新昌大佛寺·禅意酒店,ctrip_hotel:chanyi,comprehensive,2,attraction_review,景点0008,新昌大佛寺·禅意酒店
,,,嵊州温泉度假村,ctrip_hotel:shengzhouhotspring,comprehensive,2,attraction_review,景点0073,嵊州温泉度假村
,,,诸暨五泄·山水间,meituan_bnb:wuxie,comprehensive,2,attraction_review,景点0074,诸暨五泄·山水间
,,,上虞覆卮山·梯田人家,meituan_bnb:titian,comprehensive,2,attraction_review,景点0021,覆卮山
,,,绍兴镜湖·悦椿酒店,ctrip_hotel:jinghu,comprehensive,2,attraction_review,景点0075,绍兴镜湖·悦椿酒店
,,,绍兴银泰大酒店,ctrip_hotel:yinta,comprehensive,2,attraction_review,景点0076,绍兴银泰大酒店
,,,绍兴鲁迅故里青年旅舍,ctrip_hotel:youthhostel,comprehensive,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,绍兴越城·老台门民宿,meituan_bnb:taimen,comprehensive,2,attraction_review,景点0077,绍兴越城·老台门民宿
,,,绍兴迪荡·亚朵酒店,ctrip_hotel:yaduo,comprehensive,2,attraction_review,景点0078,绍兴迪荡·亚朵酒店
,,,新昌穿岩·十九峰山居,meituan_bnb:shiju,comprehensive,2,attraction_review,景点0079,新昌穿岩·十九峰山居
,,,诸暨西施·浣纱民宿,meituan_bnb:huansha,comprehensive,2,attraction_review,景点0080,诸暨西施·浣纱民宿
,,,绍兴会稽山·阳明酒店,ctrip_hotel:yangming,comprehensive,2,attraction_review,景点0081,绍兴会稽山·阳明酒店
,,,绍兴鲁迅故里·如家精选,ctrip_hotel:rujia,comprehensive,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,柯桥乔波·冰雪酒店,ctrip_hotel:qiaobo,comprehensive,2,attraction_review,景点0082,柯桥乔波·冰雪酒店
,,,绍兴东湖·湖光山色民宿,meituan_bnb:donghu,comprehensive,2,attraction_review,景点0003,绍兴东湖·湖光山色民宿
,,,绍兴·六和藏院,meituan_bnb:liuhe,comprehensive,2,attraction_review,景点0083,绍兴·六和藏院
,,,嵊州越剧小镇·戏韵民宿,meituan_bnb:xiyun,comprehensive,2,attraction_review,景点0043,嵊州越剧小镇
,,,绍兴柯桥·亚帆酒店,ctrip_hotel:yafan,comprehensive,2,attraction_review,景点0084,绍兴柯桥·亚帆酒店
,,,绍兴新昌·天姥山居,meituan_bnb:tianmu,comprehensive,2,attraction_review,景点0019,天姥山
,,,诸暨·白塔湖渔家乐,meituan_bnb:baita,comprehensive,2,attraction_review,景点0085,诸暨·白塔湖渔家乐
,,,鲁迅故里三味书屋,comprehensive:study:luxun,comprehensive,3,attraction_review,美食0151,鲁迅故里小吃街
,,,兰亭景区,comprehensive:study:lanting,comprehensive,3,attraction_review,景点0004,兰亭景区
,,,中国黄酒博物馆,comprehensive:study:huangjiu,comprehensive,3,attraction_review,展馆0120,中国黄酒博物馆
,,,仁昌酱园,comprehensive:study:jiangyuan,comprehensive,3,attraction_review,美食0141,安昌古镇仁昌酱园
,,,嵊州竹编工艺馆,comprehensive:study:zhubian,comprehensive,3,attraction_review,美食0184,嵊州竹编工艺馆
,,,上虞越窑青瓷工作室,comprehensive:study:yueyao,comprehensive,3,attraction_review,美食0185,越窑青瓷工作室
,,,绍兴博物馆,comprehensive:study:museum,comprehensive,3,attraction_review,展馆0119,绍兴博物馆
,,,书圣故里,comprehensive:study:shusheng,comprehensive,3,attraction_review,景点0011,书圣故里
,,,孙端镇安桥头村,comprehensive:study:luxunwaipo,comprehensive,3,attraction_review,,
,,,中华孝德园,comprehensive:study:xiaode,comprehensive,3,attraction_review,景点0023,中华孝德园
,,,秋瑾故居,comprehensive:study:qiujin,comprehensive,3,attraction_review,景点0014,秋瑾故居
,,,周恩来祖居,comprehensive:study:zhouenlai,comprehensive,3,attraction_review,景点0015,周恩来祖居
,,,绍兴科技馆,comprehensive:study:science,comprehensive,3,attraction_review,展馆0121,绍兴科技馆
,,,绍兴气象博物馆,comprehensive:study:qixiang,comprehensive,3,attraction_review,展馆0119,绍兴博物馆
,,,会稽山兜率天景区,comprehensive:study:kuaiji,comprehensive,3,attraction_review,景点0026,会稽山兜率天景区
,,,绍兴非遗馆,comprehensive:study:feiyi,comprehensive,3,attraction_review,景点0046,绍兴非遗馆
,,,东湖风景区,comprehensive:study:donghu,comprehensive,3,attraction_review,景点0009,五泄风景区
,,,柯桥鉴湖古纤道,comprehensive:study:guqiandao,comprehensive,3,attraction_review,景点0030,古纤道
,,,绍兴铜雕工作室,comprehensive:study:tongdiao,comprehensive,3,attraction_review,美食0190,绍兴铜雕工作室
,,,越城区+柯桥区,comprehensive:study:family2day,comprehensive,3,attraction_review,,
,,,绍兴全境,comprehensive:study:teambuilding,comprehensive,3,attraction_review,,
绍兴避暑胜地推荐,每年7-8月,东湖水洞（洞内温差约10℃）、百丈飞瀑峡谷、五泄风景区、新昌大佛寺山林。,东湖/百丈飞瀑/五泄/新昌大佛寺,comprehensive:event:summer_cool,comprehensive,3,,景点0024,百丈飞瀑
绍兴黄酒文化体验,全年（11月黄酒节最热）,黄酒博物馆→古越龙山体验馆→安昌仁昌酱园→咸亨酒店品酒。了解七千年黄酒文化。,黄酒博物馆/安昌古镇,comprehensive:event:huangjiu_tour,comprehensive,3,,展馆0120,中国黄酒博物馆
绍兴亲子周末游,全年,鲁迅故里（三味书屋私塾体验）→科技馆→乔波冰雪世界→中华孝德园。寓教于乐。,鲁迅故里/乔波冰雪世界/中华孝德园,comprehensive:event:family_weekend,comprehensive,3,,景点0023,中华孝德园
绍兴摄影打卡地,全年,八字桥（古桥水乡经典画面）、仓桥直街（红灯笼夜景）、覆卮山梯田（春季油菜花）、东湖乌篷船。,八字桥/仓桥直街/覆卮山/东湖,comprehensive:event:photo_spots,comprehensive,3,,景点0012,仓桥直街
绍兴非遗体验之旅,全年,安昌扯白糖（观看制作）、黄酒博物馆（酿造体验）、书圣故里（书法体验）、嵊州竹编（手工艺体验）。,安昌古镇/黄酒博物馆/书圣故里,comprehensive:event:ich_experience,comprehensive,3,,景点0011,书圣故里
绍兴国庆黄金周推荐,每年10月1-7日,国庆期间绍兴各景区人流量大，建议提前预约。推荐错峰游：鲁迅故里（早8:30）、仓桥直街（晚上）。安昌古镇国庆客流较大建议工作日去。,全市,comprehensive:event:golden_week,comprehensive,3,,,
,,,鲁迅故里→沈园→书圣故里→仓桥直街,comprehensive:route:culture1day,comprehensive,4,,景点0002,沈园
,,,D1:鲁迅故里(三味书屋体验)→黄酒博物馆  D2:柯岩(坐船)→鲁镇(社戏)→安昌(扯白糖),comprehensive:route:family2day,comprehensive,2,,,
,,,覆卮山千年梯田→曹娥庙→中华孝德园,comprehensive:route:shangyu1day,comprehensive,3,,景点0021,覆卮山
,,,绍兴美食一日游,mafengwo_static:foodroute,mafengwo,2,travel_route,,
,,,绍兴亲子2日游,mafengwo_static:familyroute,mafengwo,2,travel_route,,
,,,鲁迅故里→沈园→书圣故里→仓桥直街,,wenglv,4,travel_route,景点0002,沈园
,,,D1:柯岩+鉴湖+鲁镇 / D2:安昌古镇+东湖,,wenglv,4,travel_route,,
,,,兰亭景区→书圣故里→青藤书屋→绍兴博物馆,,wenglv,4,travel_route,景点0004,兰亭景区
,,,D1:柯岩风景区→鉴湖→鲁镇  D2:安昌古镇→东湖,comprehensive:route:water2day,comprehensive,4,,,
,,,兰亭景区→书圣故里→青藤书屋→绍兴博物馆,comprehensive:route:calligraphy,comprehensive,4,,景点0004,兰亭景区
,,,D1:鲁迅故里→沈园→书圣故里(晚)  D2:柯岩风景区(全天)→仓桥直街(晚)  D3:东湖→兰亭→安昌古镇,comprehensive:route:3day_deep,comprehensive,3,,景点0002,沈园
,,,D1:新昌大佛寺→穿岩十九峰  D2:天姥山→嵊州崇仁古镇  D3:百丈飞瀑→越剧小镇,comprehensive:route:xinchang_shengzhou,comprehensive,3,,景点0010,穿岩十九峰
,,,D1:鲁迅故里(三味书屋体验)→黄酒博物馆  D2:柯岩(坐船)→鲁镇(社戏)→安昌(扯白糖),comprehensive:route:family2day,comprehensive,2,,,
,,,五泄风景区→西施故里,comprehensive:route:zhuji1day,comprehensive,3,,景点0009,五泄风景区
,,,D1:鲁迅故里+沈园+仓桥直街  D2:柯岩+鉴湖+鲁镇  D3:兰亭+东湖+书圣故里  D4:新昌大佛寺+穿岩十九峰  D5:安昌古镇+黄酒博物馆,comprehensive:route:5day_full,comprehensive,3,,景点0002,沈园
,,,,,local_news,2,seasonal_event,,
,,,,,local_news,2,seasonal_event,,
,每年3-4月,宛委山樱花、吼山桃花、镜湖湿地油菜花、兰亭竹林,,,weixin,1,seasonal_event,,
,每年10-11月,大香林桂花、会稽山红叶、鉴湖桂花节、天姥山秋色,,,weixin,1,seasonal_event,,
,每年腊月(12月-1月),安昌古镇腊味飘香、传统年俗体验、酱园开缸,,,weixin,1,seasonal_event,美食0159,绍兴特产·安昌腊肠
鲁迅文化周,每年4月下旬,鲁迅文化周期间举办文学讲座、主题展览、研学活动等，是鲁迅故里最热闹的时节。,鲁迅故里,comprehensive:seasonal:鲁迅故里,comprehensive,2,seasonal_event,景点0001,绍兴鲁迅故里开元曼居
沈园梅花节,每年2-3月,沈园梅花盛开，红梅白梅与宋代园林相映成趣，是绍兴春日赏梅胜地。,沈园,comprehensive:seasonal:沈园,comprehensive,2,seasonal_event,景点0002,沈园
东湖荷花节,每年6-8月,夏季东湖荷花满湖，乌篷船穿行荷间，水洞内外温差约10℃为天然避暑胜地。,东湖,comprehensive:seasonal:东湖,comprehensive,2,seasonal_event,景点0003,绍兴东湖·湖光山色民宿
兰亭书法节,每年农历三月初三,第40届兰亭书法节将举办书法展览、曲水流觞、现场挥毫等活动，是海内外书法爱好者的年度盛会。,兰亭景区,comprehensive:seasonal:兰亭景区,comprehensive,2,seasonal_event,景点0004,兰亭景区
鉴湖桂花节,每年9-10月,鉴湖畔桂花飘香，可乘乌篷船赏桂。桂花糕、桂花酒等时令美食集中呈现。,绍兴柯岩风景区,comprehensive:seasonal:绍兴柯岩风景区,comprehensive,2,seasonal_event,景点0005,绍兴柯岩风景区
安昌腊月风情节,每年腊月（12月-1月）,安昌古镇腊味飘香、传统年俗体验、酱园开缸、水上婚礼表演，年味最浓。,安昌古镇,comprehensive:seasonal:安昌古镇,comprehensive,2,seasonal_event,景点0006,安昌古镇·水岸客栈
大禹陵祭祀大典,每年清明节前后,国家级非遗，每年清明节举行公祭大禹陵典礼，仪仗庄严，是了解中华祭祀文化的重要窗口。,大禹陵,comprehensive:seasonal:大禹陵,comprehensive,2,seasonal_event,景点0007,大禹陵
书圣故里最佳游览季,四季皆宜,,书圣故里,comprehensive:seasonal:书圣故里,comprehensive,2,seasonal_event,景点0011,书圣故里
仓桥直街最佳游览季,四季皆宜,,仓桥直街,comprehensive:seasonal:仓桥直街,comprehensive,2,seasonal_event,景点0012,仓桥直街
八字桥最佳游览季,四季皆宜,,八字桥,comprehensive:seasonal:八字桥,comprehensive,2,seasonal_event,景点0013,八字桥
